,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/2025,,,,,,,,,,,,,,,,,,,
,"Thema: Workshop zum Zeitmanagement 
Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma sollen an einem Workshop zum Zeitmanagement teilnehmen
",test 020301,,test 020301,test 020301,,,,,,,,,,,,test 020301,,test 020301,,test 020301,,,test 020301,,,,,,test 020301,,test 020301,,,,,,,,,test 020301,,,,,,,,test 020301,,,,,,,,,,,,,,,,,,,,,test 020301,test 020301,,,,,,,,test 020301,,,,,,,,,,,
,,Reinigung ,,Reinigung ,Reinigung ,,,,,,,,,,,,Reinigung ,,Reinigung ,,Reinigung ,,,Reinigung ,,,,,,Reinigung ,,Reinigung ,,,,,,,,,Reinigung ,,,,,,,,Reinigung ,,,,,,,,,,,,,,,,,,,,,Reinigung ,Reinigung ,,,,,,,,Reinigung ,,,,,,,,,,,
,,"15Min.,20%Rabbat ",,T-notizen ,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15Min.,20%Rabbat ","15Min.,20%Rabbat ",,,,,,,,,,,,,,,,,,,
,,T-notizen ,,,,,,,,,,,,,,,T-notizen ,,T-notizen ,,T-notizen ,,,T-notizen ,,,,,,T-notizen ,,T-notizen ,,,,,,,,,T-notizen ,,,,,,,,T-notizen ,,,,,,,,,,,,,,,,,,,,,T-notizen ,T-notizen ,,,,,,,,T-notizen ,,,,,,,,,,,
,"Thema: "" keine Überstunden ""
Alle Mitarbeiterinnen und Mitarbeiter in Ihrer  Firma sollen keine Überstunden leisten. Zur Durchsetzung dieser Maßnahme wird man nach acht Arbeitsstunden automatisch aus dem Computersystem abgemeldet. 
",Schmidt/tt/dz/tz?,,,,,,,,,,,,,,,Schmidt,,Schmidt,,Schmidt,,,Schmidt,,,,,,Schmidt,,Schmidt,,,,,,,,,Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schmidt/tt/dz/tz?,Schmidt/tt/dz/tz?,,,,,,,,,,,,,,,,,,,
,,Autovermietung ,,,,,,,,,,,,,,,Autovermietung ,,Autovermietung ,,Autovermietung ,,,Autovermietung ,,,,,,Autovermietung ,,Autovermietung ,,,,,,,,,Autovermietung ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Autovermietung ,Autovermietung ,,,,,,,,,,,,,,,,,,,
,,Angebot ,,,,,,,,,,,,,,,Angebot ,,Angebot ,,Angebot ,,,Angebot ,,,,,,Angebot ,,Angebot ,,,,,,,,,Angebot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angebot ,Angebot ,,,,,,,,Angebot ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mündlich 020201,,,,,,,,,,,,,,,Mündlich 020201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9⁰⁰ Dresden ,"9⁰⁰ Hamburg , NRW, ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Alle Mitarbeiterinnen und Mitarbeiter sollen bereit sein, Überstunden zu leisten. Diese werden nicht extra bezahlt, sondern sind mit dem übertariflichen Gehalt ausgeglichen.",test 020321,,,test 020321,test 020321,,test 020321,test 020321,test 020321,test 020321,test 020321,test 020321,,test 020321,,,test 020321,,,,,,,,,,,,,,,,,,,,,,,test 020321,,,,,,,test 020321,,,,,,,,,,test 020321,,,,,,,,,,test 020321,test 020321,,,,,,,,,,,,,,,,test 020321,,,,,
,,Reinigung ,,,Reinigung ,Reinigung ,,Reinigung ,Reinigung ,Reinigung ,Reinigung ,Reinigung ,Reinigung ,,Reinigung ,   ,,Reinigung ,,,,,,,,,,,,,,,,,,,,,,,Reinigung ,,,,,,,Reinigung ,,,,,,,,,,Reinigung ,,,,,,,,,,Reinigung ,Reinigung ,,,,,,,,,,,,,,,,Reinigung ,,,,,
,,T-notizen ,,,T-notizen ,T-notizen ,,T-notizen ,T-notizen ,T-notizen ,T-notizen ,T-notizen ,T-notizen ,,T-notizen ,,,T-notizen ,,,,,,,,,,,,,,,,,,,,,,,T-notizen ,,,,,,,T-notizen ,,,,,,,,,,T-notizen ,,,,,,,,,,T-notizen ,T-notizen ,,,,,,,,,,,,,,,,T-notizen ,,,,,
,,Schmidt/tt/dz/tz?,,,,,,Schmidt,Schmidt,Schmidt,Schmidt,,,,,,,Schmidt,,,,,,,,,,,,,,,,,,,,,,,Schmidt,,,,,,,Schmidt/tt/dz/tz?,,,,,,,,,,Schmidt,,,,,,,,,,Schmidt/tt/dz/tz?,Schmidt/tt/dz/tz?,,,,,,,,,,,,,,,,Schmidt/tt/dz/tz?,,,,,
,,Autovermietung ,,,,,,Autovermietung ,Autovermietung ,Autovermietung ,Autovermietung ,,,,,,,Autovermietung ,,,,,,,,,,,,,,,,,,,,,,,Autovermietung ,,,,,,,Autovermietung ,,,,,,,,,,Autovermietung ,,,,,,,,,,Autovermietung ,Autovermietung ,,,,,,,,,,,,,,,,Autovermietung ,,,,,
,Alle Mitarbeiterinnen und Mitarbeiter der Firma sollten ihre Mobiltelefone während der Arbeitszeit im Aufenthaltsraum aufbewahren. Privathandy sind nur in den Pausen gestattet.,Angebot  90€,,,,,,Angebot ,Angebot ,Angebot ,Angebot ,,,,,,,Angebot ,,,,,,,,,,,,,,,,,,,,,,,Angebot ,,,,,,,Angebot ,,,,,,,,,,Angebot  50€,,,,,,,,,,Angebot  90€,Angebot 90€,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13⁰⁰ Sachsen-Anhalt ,9⁰⁰ Sachsen ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Firmenumzug                                                                                                       Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma müssen umziehen, weil das Unternehmen in eine andere Stadt zieht; die Kosten für den Umzug werden erstattet.",test 030301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test 030301,,test 030301,,,,,,,,,,
,,Tischlampe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischlampe ,,Tischlampe ,,,,,,,,,,
,,T- notizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T- notizen,,,,,,,,,,,,
,,Tischreservierug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Parken nur für Kunden                                                                                                                     Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma dürfen nicht mehr ihre Autos auf dem Firmengelände parken. Das Parken ist jetzt nur noch für Kunden. Das Unternehmen übernimmt die Kosten nur noch den öffentlichen Nahverkehr.
",Herrman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischreservierug für 6 Person,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buchung,,,,,,,,,,,,
,,Buchung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Firmenumzug                                                                                                       Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma müssen umziehen, weil das Unternehmen in eine andere Stadt zieht; die Kosten für den Umzug werden erstattet.",test 030302,,test 030302,test 030302,,,test 030302,,,test 030302,test 030302,,,,,,,test 030302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test 030302,test 030302,,test 030302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tischlampe ,,Tischlampe ,Tischlampe ,,,Tischlampe ,,,Tischlampe ,Tischlampe ,,,,,,,Tischlampe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischlampe ,Tischlampe ,,Tischlampe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,T- notizen,,T- notizen,T- notizen,,,T- notizen,,,T- notizen,T- notizen,,,,,,,T- notizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T- notizen,T- notizen,,T- notizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Herrman,,,,Hoffmann,,,Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Parken nur für Kunden                                                                                                                     Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma dürfen nicht mehr ihre Autos auf dem Firmengelände parken. Das Parken ist jetzt nur noch für Kunden. Das Unternehmen übernimmt die Kosten nur noch den öffentlichen Nahverkehr.
",Tischreservierug,,Tischreservierug für 5 Person,Tischreservierug für 5 Person,,,"Tischreservierug, Do., am Abend, Menü 2",,,Tischreservierug,,,,,,,,Tischreservierug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischreservierug,Tischreservierug,,Tischreservierug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Buchung,Buchung,,,Buchung,,,Buchung,Buchung,,,,,,,Buchung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buchung,Buchung,,Buchung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Buchung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mündlich 030301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mündlich 030301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11 Alle Mitarbeiterinnen und Mitarbeiter in Ihre Firma müssen ,test 030321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,test 030321,,,test 030321,test 030321,,,,,
,Weiterbildung nach der Arbeitszeit mindesten 2 Mal pro Jahr ,Tischlampe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tischlampe,,,Tischlampe,Tischlampe,,,,,
,machen. Die Firma unterstützt Sie dabei und bezahlt einen Zuschlag ,T- notizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T-notizen,,,T-notizen,T-notizen,,,,,
,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lieferung,,,Herrman/Herrmann,Herrman/Herrmann,,,,,
,,Tischreservierug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12 Alle Mitarbeiterinnen und Mitarbeiter in Ihrer Firma können in der ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pause Sport treiben. Für den Sport werden monatlich 15 € abgezogen.,Buchung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Betriebliche Erreichbarkeitsregelung
Wegen eines großen Betriebsauftrags müssen alle Mitarbeitenden 
am Wochenende / unter der Woche telefonisch erreichbar sein.
",test 030422,,test 030422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
